127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-10 12:59:13, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-06-10 12:59:14, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-06-10 12:59:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-06-10 12:59:17, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2016-06-10 12:59:17, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-10 12:59:17, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-06-10 12:59:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-06-10 12:59:20, GET, /admin/default/site, HTTP/1.1, 303, 1.105000
127.0.0.1, 2016-06-10 12:59:20, GET, /admin/default/index, HTTP/1.1, 200, 0.386000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.103000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-06-10 12:59:21, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
